COURSE_ACAD_YR,POLY,JAE_COURSE_CODE,COURSE_TITLE,JAE_COURSE_CLUSTER,JAE_ELR2B2,ELR2B2_YEAR,COURSE_URL,NEW_COURSE
2019/20,NYP,C34,Common Business Programme,BUSINESS & MANAGEMENT,-,-,http://www.nyp.edu.sg/schools/sbm/full-time-courses/common-business-programme.html,Yes
2019/20,NYP,C35,Business & Financial Technology,BUSINESS & MANAGEMENT,-,-,http://www.nyp.edu.sg/schools/sit/full-time-courses/business-and-financial-technology.html,Yes
2019/20,NYP,C36,Common ICT Programme,INFORMATION & DIGITAL TECHNOLOGIES,-,-,http://www.nyp.edu.sg/schools/sit/full-time-courses/common-ict-programme.html,Yes
2019/20,NYP,C38,Architecture,BUILT ENVIRONMENT,20,2018,http://www.nyp.edu.sg/schools/sdn/full-time-courses/architecture.html,No
2019/20,NYP,C39,Aerospace / Electrical / Electronics Programme,ENGINEERING,21,2018,http://www.nyp.edu.sg/schools/seg/full-time-courses/aerospace-electrical-electronics-programme.html,No
2019/20,NYP,C40,Aerospace / Mechatronics Programme,ENGINEERING,26,2018,http://www.nyp.edu.sg/schools/seg/full-time-courses/aerospace-mechatronics-programme.html,No
2019/20,NYP,C41,Engineering With Business,ENGINEERING,18,2018,http://www.nyp.edu.sg/schools/seg/full-time-courses/engineering-with-business.html,No
2019/20,NYP,C42,Common Engineering Programme,ENGINEERING,26,2018,http://www.nyp.edu.sg/schools/seg/full-time-courses/common-engineering-programme.html,No
2019/20,NYP,C43,Business Intelligence & Analytics,INFORMATION & DIGITAL TECHNOLOGIES,17,2018,http://www.nyp.edu.sg/schools/sit/full-time-courses/business-intelligence-and-analytics.html,No
2019/20,NYP,C45,Medicinal Chemistry,APPLIED SCIENCES,12,2018,http://www.nyp.edu.sg/schools/scl/full-time-courses/diploma-in-medicinal-chemistry.html,No
2019/20,NYP,C46,Food & Beverage Business,BUSINESS & MANAGEMENT,17,2018,http://www.nyp.edu.sg/schools/sbm/full-time-courses/food-and-beverage-business.html,No
2019/20,NYP,C47,Social Sciences (Social Work),HEALTH SCIENCES,14,2018,http://www.nyp.edu.sg/schools/shs/full-time-courses/social-sciences.html,No
2019/20,NYP,C48,Electrical Engineering With Eco-Design,ENGINEERING,26,2018,http://www.nyp.edu.sg/schools/seg/full-time-courses/electrical-engineering-with-eco-design.html,No
2019/20,NYP,C49,Biologics & Process Technology,APPLIED SCIENCES,15,2018,http://www.nyp.edu.sg/schools/scl/full-time-courses/diploma-in-biologics-and-process-technology.html,No
2019/20,NYP,C50,Nanotechnology & Materials Science,ENGINEERING,17,2018,http://www.nyp.edu.sg/schools/seg/full-time-courses/nanotechnology-and-materials-science.html,No
